DATATYPE	N_SAMPLES	N_FEATURES	N_NEIGHBORS	N_COMPONENTS	TIME_ISOMAP	TIME_METRICS	SCORE_JACCARD
gaussian_quantiles	1000	25	200	25	0.7464610960014397	0.3284585959991091	0.17336408860742147
gaussian_quantiles	1000	25	200	25	0.7227618830002029	0.3264110130039626	0.17336408860742147
gaussian_quantiles	1000	25	200	25	0.7270574479989591	0.32389394599886145	0.17336408860742147
gaussian_quantiles	1000	25	200	25	0.7234140360014862	0.3235469780047424	0.17336408860742147
gaussian_quantiles	1000	25	200	25	0.7271808369987411	0.3293857710013981	0.17336408860742147
