DATATYPE	N_SAMPLES	N_FEATURES	N_NEIGHBORS	N_COMPONENTS	TIME_ISOMAP	TIME_METRICS	SCORE_JACCARD
friedman1	1000	25	200	25	0.7230007909965934	0.32752443900244543	0.17495156597487077
friedman1	1000	25	200	25	0.7146913010001299	0.32324623300519306	0.17495156597487077
friedman1	1000	25	200	25	0.7227156989974901	0.32382899100048235	0.17495156597487077
friedman1	1000	25	200	25	0.7226214830006938	0.32440346899966244	0.17495156597487077
friedman1	1000	25	200	25	0.7132298899960006	0.3260039550004876	0.17495156597487077
